Campaign_Name,Clicks,Payout
CreditKarma (Paused),2677,0
CreditKarma (Paused),2677,0
CreditKarma (Paused),1621,0
CreditKarma (Paused),1621,0
Croma [CPS] IN,8297,98.97
Croma [CPS] IN,170,59.86
Croma [CPS] IN,164,0
Croma [CPS] IN,589,0
Croma [CPS] IN,3560,0
Croma [CPS] IN,9040,0
Croma [CPS] IN,105,0
Croma [CPS] IN,16,0
Croma.com CPS - India,494,0
Croma.com CPS - India,336,0
Croma.com CPS - India,738,0
Croma.com CPS - India,296,46.75
Cupshe Ca0da,469,0
Cupshe Ca0da,495,0
Cupshe Ca0da,2,0
Daily Objects,5,0
Daily Objects,9,0
Daily Objects,9,0
Daily Objects,36,64.15
Daily Objects,7,0
Daily Objects,2,0
Daily Objects,5,0
Daily Objects [CPS] IN & US,36,0
Daily Objects [CPS] IN & US,76,0
Daily Objects [CPS] IN & US,65,0
Daily Objects [CPS] IN & US,43,0
Damensch.com CPS - India**,377,0
Damensch.com CPS - India**,18,0
Damensch.com CPS - India**,13,0
Damensch.com CPS - India**,98,0
DataCamp,238,31.2
DataCamp,1763,77.2
DataCamp,3,0
DataCamp,1539,99.23
DataCamp,1152,29.8
DataCamp,792,51.6
DataCamp,118,0
DataCamp,5,0
DataCamp,8,0
DataCamp,2,0
DataCamp,4,0
Debenhams.com CPS - Kuwait,1,0
Debenhams.com CPS - Kuwait,1,0
Depositphotos [CPS] WW,749,0
Depositphotos [CPS] WW,561,0
Depositphotos [CPS] WW,419,0
Depositphotos [CPS] WW,420,0
Depositphotos [CPS] WW,362,0
Depositphotos [CPS] WW,345,0
Depositphotos [CPS] WW,336,0
Depositphotos [CPS] WW,627,0
DHgate,1378,88.64
DHgate,156,63.31
DHgate,191,20.74
DHgate,132,32.79
DHgate,102,17.19
DHgate,72,14.21
DHgate,427,36.39
DHgate,722,27.62
DHgate,1378,88.64
DHgate,156,63.31
DHgate,191,20.74
DHgate,132,32.79
DHgate,102,17.19
DHgate,72,14.21
DHgate,427,36.39
DHgate,724,27.62
DHgate,1870,37.99
Dhgate 2 - CPS,466,29.495
Dhgate 2 - CPS,684,76.2705
Dhgate 2 - CPS,684,76.2705
Dhgate 2 - CPS,635,82.11
Dhgate 2 - CPS,600,56.1255
Dhgate 2 - CPS,4,0
Dhgate 2 - CPS,225,22.015
Dhgate 2 - CPS,225,22.015
Dhgate 2 - CPS,705,46.5035
