Campaign_Name,Time,Payout,Clicks,Partner
Shopee Indonesia - CPS,A-January'2023,7.1883,10812,Pokket_XO
Shopee Indonesia - CPS,A-January'2023,7.1883,10812,Pokket_XO
Shopee Indonesia - CPS,B-February'2023,15.5947,20808,Pokket_XO
Shopee Indonesia - CPS,B-February'2023,15.5947,20808,Pokket_XO
Shopee Indonesia - CPS,C-March'2023,23.6692,27996,Pokket_XO
Shopee Indonesia - CPS,C-March'2023,23.6692,27996,Pokket_XO
Shopee Indonesia - CPS,D-April'2023,22.5301,15951,Pokket_XO
Shopee Indonesia - CPS,D-April'2023,22.5301,15951,Pokket_XO
Shopee Indonesia - CPS,E-May'2023,15.8092,16008,Pokket_XO
Shopee Indonesia - CPS,E-May'2023,15.8092,16008,Pokket_XO
Shopee Indonesia - CPS,F-June'2023,12.228,16031,Pokket_XO
Shopee Indonesia - CPS,F-June'2023,12.228,16031,Pokket_XO
Shopee Indonesia - CPS,G-July'2023,2.6911,4517,Pokket_XO
Shopee Indonesia - CPS,G-July'2023,2.6911,4517,Pokket_XO
Shopee Indonesia - CPS,H-August'2023,2.3228,4324,Pokket_XO
Shopee Indonesia - CPS,H-August'2023,2.3228,4324,Pokket_XO
Shopee Indonesia - CPS,I-September'2023,8.2351,3235,Pokket_XO
Shopee Indonesia - CPS,I-September'2023,8.2351,3235,Pokket_XO
Shopee Indonesia - CPS,J-October'2023,5.6757,3308,Pokket_XO
Shopee Indonesia - CPS,J-October'2023,5.6757,3308,Pokket_XO
Shopee Indonesia - CPS,K-November'2023,8.6652,3039,Pokket_XO
Shopee Indonesia - CPS,K-November'2023,8.6652,3039,Pokket_XO
Shopee Indonesia - CPS,L-December'2023,6.1867,2839,Pokket_XO
Shopee Indonesia - CPS,L-December'2023,6.1867,2839,Pokket_XO
Shopee SG - CPS,A-January'2023,49.232,12220,Pokket_FS
Shopee SG - CPS,B-February'2023,53.0041,7473,Pokket_FS
Shopee SG - CPS,C-March'2023,36.5358,6709,Pokket_FS
Shopee SG - CPS,D-April'2023,36.5358,6709,Pokket_FS
Shopee SG - CPS,E-May'2023,24.569,6668,Pokket_FS
Shopee SG - CPS,F-June'2023,25.1282,4941,Pokket_FS
Shopee SG - CPS,A-January'2023,10.365,3413,Pokket_XO
Shopee SG - CPS,A-January'2023,10.365,3413,Pokket_XO
Shopee SG - CPS,B-February'2023,35.4403,10574,Pokket_XO
Shopee SG - CPS,B-February'2023,35.4403,10574,Pokket_XO
Shopee SG - CPS,C-March'2023,45.6704,8655,Pokket_XO
Shopee SG - CPS,C-March'2023,45.6704,8655,Pokket_XO
Shopee SG - CPS,D-April'2023,52.0323,10119,Pokket_XO
Shopee SG - CPS,D-April'2023,52.0323,10119,Pokket_XO
Shopee SG - CPS,E-May'2023,22.1496,9071,Pokket_XO
Shopee SG - CPS,E-May'2023,22.1496,9071,Pokket_XO
Shopee SG - CPS,F-June'2023,33.0998,8595,Pokket_XO
Shopee SG - CPS,F-June'2023,33.0998,8595,Pokket_XO
Shopee SG - CPS,G-July'2023,11.0838,2774,Pokket_XO
Shopee SG - CPS,G-July'2023,11.0838,2774,Pokket_XO
